product_id,name,category,brand,price,description
20,Trendy Green Jeans,T-Shirts,Tommy Hilfiger,787.79,"A high-quality trendy green jeans from Tommy Hilfiger, perfect for everyday wear."
21,Classic White Tee,Underwear,Tommy Hilfiger,603.87,"A high-quality classic white tee from Tommy Hilfiger, perfect for everyday wear."
22,Comfortable Black Tee,Sweaters,Banana Republic,683.5,"A comfortable comfortable black tee from Banana Republic, perfect for everyday wear."
23,Modern Blue Blouse,Pants,H&M,421.3,"A versatile modern blue blouse from H&M, perfect for everyday wear."
24,Designer Pink Dress,Jackets,Tommy Hilfiger,432.68,"A high-quality designer pink dress from Tommy Hilfiger, perfect for everyday wear."
25,Basic Pink Pants,Jeans,Nike,306.49,"A comfortable basic pink pants from Nike, perfect for everyday wear."
26,Comfortable Blue Necklace,Sweaters,Ralph Lauren,134.81,"A stylish comfortable blue necklace from Ralph Lauren, perfect for everyday wear."
27,Casual Pink Socks,Underwear,Uniqlo,141.73,"A high-quality casual pink socks from Uniqlo, perfect for everyday wear."
28,Designer Navy Coat,Jeans,Tommy Hilfiger,253.32,"A stylish designer navy coat from Tommy Hilfiger, perfect for everyday wear."
29,Premium Red Cap,T-Shirts,Adidas,296.45,"A high-quality premium red cap from Adidas, perfect for everyday wear."
30,Trendy Navy Socks,Socks,Forever 21,551.68,"A stylish trendy navy socks from Forever 21, perfect for everyday wear."
31,Comfortable Navy Cap,Shoes,Banana Republic,507.48,"A comfortable comfortable navy cap from Banana Republic, perfect for everyday wear."
32,Casual Red Jacket,Accessories,Ralph Lauren,424.32,"A versatile casual red jacket from Ralph Lauren, perfect for everyday wear."
33,Trendy Green Cap,Coats,Old Navy,133.82,"A stylish trendy green cap from Old Navy, perfect for everyday wear."
34,Designer Blue Pants,Socks,H&M,437.76,"A stylish designer blue pants from H&M, perfect for everyday wear."
35,Designer White Blouse,Shorts,Levi's,316.71,"A versatile designer white blouse from Levi's, perfect for everyday wear."
36,Comfortable Pink Shorts,Blouses,Adidas,715.94,"A stylish comfortable pink shorts from Adidas, perfect for everyday wear."
37,Classic Gray Shorts,Underwear,H&M,125.82,"A stylish classic gray shorts from H&M, perfect for everyday wear."
38,Designer White Sweater,Jeans,Levi's,382.46,"A versatile designer white sweater from Levi's, perfect for everyday wear."
39,Classic White Tee,T-Shirts,H&M,183.55,"A stylish classic white tee from H&M, perfect for everyday wear."
40,Sporty Black Jacket,Coats,Forever 21,352.93,"A high-quality sporty black jacket from Forever 21, perfect for everyday wear."
41,Sporty Pink Jacket,Pants,Adidas,550.83,"A comfortable sporty pink jacket from Adidas, perfect for everyday wear."
42,Modern Pink Necklace,Jackets,Gucci,358.7,"A stylish modern pink necklace from Gucci, perfect for everyday wear."
43,Comfortable Gray Socks,Jeans,Nike,86.57,"A high-quality comfortable gray socks from Nike, perfect for everyday wear."
44,Stylish Red Coat,Dresses,Zara,660.08,"A high-quality stylish red coat from Zara, perfect for everyday wear."
45,Designer White Coat,Pants,H&M,112.5,"A high-quality designer white coat from H&M, perfect for everyday wear."
46,Vintage Gray Cap,Pants,Zara,440.45,"A comfortable vintage gray cap from Zara, perfect for everyday wear."
47,Casual Navy Dress,Shorts,Zara,317.49,"A versatile casual navy dress from Zara, perfect for everyday wear."
48,Stylish Gray Sweater,Shorts,Forever 21,393.18,"A high-quality stylish gray sweater from Forever 21, perfect for everyday wear."
49,Elegant Blue Pants,Jeans,H&M,198.1,"A comfortable elegant blue pants from H&M, perfect for everyday wear."
50,Classic Green Coat,Shoes,Forever 21,683.85,"A comfortable classic green coat from Forever 21, perfect for everyday wear."
51,Classic Pink Coat,Dresses,Gucci,123.88,"A comfortable classic pink coat from Gucci, perfect for everyday wear."
52,Sporty Navy Tee,Pants,Ralph Lauren,35.49,"A stylish sporty navy tee from Ralph Lauren, perfect for everyday wear."
53,Designer Black Jacket,Shoes,H&M,219.33,"A versatile designer black jacket from H&M, perfect for everyday wear."
54,Casual Black Skirt,Coats,Forever 21,709.7,"A high-quality casual black skirt from Forever 21, perfect for everyday wear."
55,Trendy Green Cap,Jackets,Adidas,413.4,"A versatile trendy green cap from Adidas, perfect for everyday wear."
56,Comfortable Pink Jacket,Accessories,Ralph Lauren,514.48,"A comfortable comfortable pink jacket from Ralph Lauren, perfect for everyday wear."
57,Premium Green Shorts,Accessories,Gap,66.14,"A versatile premium green shorts from Gap, perfect for everyday wear."
58,Elegant Blue Skirt,Blouses,Levi's,487.29,"A versatile elegant blue skirt from Levi's, perfect for everyday wear."
59,Elegant Red Coat,Blouses,Zara,546.49,"A stylish elegant red coat from Zara, perfect for everyday wear."
60,Comfortable Green Dress,Socks,Levi's,625.45,"A high-quality comfortable green dress from Levi's, perfect for everyday wear."
61,Comfortable Red Shorts,Jeans,Adidas,237.37,"A comfortable comfortable red shorts from Adidas, perfect for everyday wear."
62,Modern Red Tee,Skirts,Ralph Lauren,463.64,"A high-quality modern red tee from Ralph Lauren, perfect for everyday wear."
63,Basic Red Sneakers,Skirts,Uniqlo,90.76,"A comfortable basic red sneakers from Uniqlo, perfect for everyday wear."
64,Vintage Gray Jeans,Jeans,Adidas,716.07,"A versatile vintage gray jeans from Adidas, perfect for everyday wear."
65,Casual Green Coat,Shoes,Ralph Lauren,519.61,"A comfortable casual green coat from Ralph Lauren, perfect for everyday wear."
66,Casual Pink Sweater,Skirts,Gucci,567.61,"A comfortable casual pink sweater from Gucci, perfect for everyday wear."
67,Elegant Black Blouse,Hats,Zara,327.98,"A stylish elegant black blouse from Zara, perfect for everyday wear."
68,Elegant Gray Dress,Underwear,Zara,534.76,"A high-quality elegant gray dress from Zara, perfect for everyday wear."
69,Vintage White Tee,Jackets,H&M,763.55,"A versatile vintage white tee from H&M, perfect for everyday wear."
70,Designer Blue Jeans,Hats,Gap,16.7,"A high-quality designer blue jeans from Gap, perfect for everyday wear."
71,Casual Green Shorts,Underwear,Tommy Hilfiger,52.49,"A comfortable casual green shorts from Tommy Hilfiger, perfect for everyday wear."
72,Comfortable Black Coat,Jeans,Banana Republic,712.56,"A high-quality comfortable black coat from Banana Republic, perfect for everyday wear."
73,Trendy Black Coat,Sweaters,Old Navy,405.96,"A comfortable trendy black coat from Old Navy, perfect for everyday wear."
74,Designer Navy Cap,Jackets,Old Navy,221.87,"A high-quality designer navy cap from Old Navy, perfect for everyday wear."
75,Casual Red Socks,Jeans,Zara,102.91,"A versatile casual red socks from Zara, perfect for everyday wear."
76,Modern White Dress,Socks,Tommy Hilfiger,612.69,"A high-quality modern white dress from Tommy Hilfiger, perfect for everyday wear."
77,Comfortable Red Dress,Coats,Puma,142.69,"A high-quality comfortable red dress from Puma, perfect for everyday wear."
78,Stylish Navy Blouse,Accessories,Adidas,396.97,"A versatile stylish navy blouse from Adidas, perfect for everyday wear."
79,Trendy Red Jeans,Dresses,Gap,682.85,"A comfortable trendy red jeans from Gap, perfect for everyday wear."
80,Classic White Sneakers,Shoes,Gucci,707.26,"A comfortable classic white sneakers from Gucci, perfect for everyday wear."
81,Stylish Green Shorts,Blouses,Old Navy,60.38,"A high-quality stylish green shorts from Old Navy, perfect for everyday wear."
82,Elegant Navy Dress,Coats,Adidas,164.56,"A high-quality elegant navy dress from Adidas, perfect for everyday wear."
83,Basic Black Blouse,Shoes,Gap,207.56,"A high-quality basic black blouse from Gap, perfect for everyday wear."
84,Casual Red Jacket,Shorts,Ralph Lauren,320.11,"A versatile casual red jacket from Ralph Lauren, perfect for everyday wear."
85,Basic Pink Necklace,Skirts,Old Navy,488.13,"A stylish basic pink necklace from Old Navy, perfect for everyday wear."
86,Comfortable Green Socks,Underwear,Puma,323.16,"A versatile comfortable green socks from Puma, perfect for everyday wear."
87,Comfortable Black Tee,Hats,Uniqlo,33.24,"A versatile comfortable black tee from Uniqlo, perfect for everyday wear."
88,Sporty Gray Pants,Dresses,Ralph Lauren,740.91,"A high-quality sporty gray pants from Ralph Lauren, perfect for everyday wear."
89,Modern Gray Skirt,Underwear,Zara,306.85,"A versatile modern gray skirt from Zara, perfect for everyday wear."
90,Designer Pink Jacket,Jackets,Nike,338.61,"A versatile designer pink jacket from Nike, perfect for everyday wear."
91,Premium Blue Cap,Underwear,Banana Republic,402.38,"A versatile premium blue cap from Banana Republic, perfect for everyday wear."
92,Elegant White Pants,Shorts,Old Navy,658.06,"A versatile elegant white pants from Old Navy, perfect for everyday wear."
93,Trendy Black Skirt,Sweaters,Banana Republic,567.76,"A stylish trendy black skirt from Banana Republic, perfect for everyday wear."
94,Comfortable Navy Tee,Jackets,Forever 21,491.34,"A comfortable comfortable navy tee from Forever 21, perfect for everyday wear."
95,Premium Green Skirt,Coats,Banana Republic,390.0,"A comfortable premium green skirt from Banana Republic, perfect for everyday wear."
96,Casual White Jacket,T-Shirts,Forever 21,408.35,"A versatile casual white jacket from Forever 21, perfect for everyday wear."
97,Casual Navy Jacket,T-Shirts,H&M,747.33,"A high-quality casual navy jacket from H&M, perfect for everyday wear."
98,Comfortable Pink Blouse,Pants,Zara,203.15,"A stylish comfortable pink blouse from Zara, perfect for everyday wear."
99,Classic Black Sweater,Socks,Puma,632.79,"A high-quality classic black sweater from Puma, perfect for everyday wear."
100,Comfortable White Sweater,Jeans,Old Navy,463.22,"A versatile comfortable white sweater from Old Navy, perfect for everyday wear."
101,Casual Black Jacket,Pants,Uniqlo,642.48,"A versatile casual black jacket from Uniqlo, perfect for everyday wear."
102,Designer Pink Jacket,Dresses,Zara,338.04,"A high-quality designer pink jacket from Zara, perfect for everyday wear."
103,Stylish Blue Pants,T-Shirts,Zara,218.65,"A comfortable stylish blue pants from Zara, perfect for everyday wear."
104,Premium Navy Shorts,Blouses,Levi's,144.86,"A high-quality premium navy shorts from Levi's, perfect for everyday wear."
105,Comfortable Green Coat,Dresses,Zara,756.89,"A versatile comfortable green coat from Zara, perfect for everyday wear."
106,Modern Navy Pants,Shoes,Forever 21,84.21,"A comfortable modern navy pants from Forever 21, perfect for everyday wear."
107,Elegant White Sweater,Socks,Old Navy,180.87,"A versatile elegant white sweater from Old Navy, perfect for everyday wear."
108,Stylish Blue Jacket,Skirts,Forever 21,744.65,"A comfortable stylish blue jacket from Forever 21, perfect for everyday wear."
109,Vintage White Sweater,Dresses,Forever 21,439.54,"A stylish vintage white sweater from Forever 21, perfect for everyday wear."
110,Modern Navy Jeans,Accessories,Tommy Hilfiger,20.47,"A stylish modern navy jeans from Tommy Hilfiger, perfect for everyday wear."
111,Premium Gray Tee,Skirts,Puma,657.35,"A stylish premium gray tee from Puma, perfect for everyday wear."
112,Modern Red Shorts,Pants,Levi's,338.67,"A comfortable modern red shorts from Levi's, perfect for everyday wear."
113,Basic Black Jacket,Blouses,Gucci,441.55,"A stylish basic black jacket from Gucci, perfect for everyday wear."
114,Elegant White Dress,Skirts,H&M,107.42,"A comfortable elegant white dress from H&M, perfect for everyday wear."
115,Modern Green Jacket,Socks,Tommy Hilfiger,689.65,"A versatile modern green jacket from Tommy Hilfiger, perfect for everyday wear."
116,Casual Blue Bra,Underwear,Levi's,373.76,"A versatile casual blue bra from Levi's, perfect for everyday wear."
117,Elegant Blue Dress,Skirts,Gucci,212.97,"A comfortable elegant blue dress from Gucci, perfect for everyday wear."
118,Classic Blue Sneakers,Socks,Uniqlo,711.98,"A comfortable classic blue sneakers from Uniqlo, perfect for everyday wear."
119,Basic Gray Skirt,Hats,Old Navy,150.81,"A comfortable basic gray skirt from Old Navy, perfect for everyday wear."
120,Comfortable Blue Pants,Sweaters,Banana Republic,202.41,"A versatile comfortable blue pants from Banana Republic, perfect for everyday wear."
121,Vintage Green Tee,Jeans,Uniqlo,82.64,"A stylish vintage green tee from Uniqlo, perfect for everyday wear."
122,Casual Red Jeans,Pants,Adidas,653.2,"A stylish casual red jeans from Adidas, perfect for everyday wear."
123,Casual Navy Coat,Shoes,Forever 21,339.7,"A versatile casual navy coat from Forever 21, perfect for everyday wear."
124,Premium Navy Necklace,Skirts,Adidas,692.82,"A stylish premium navy necklace from Adidas, perfect for everyday wear."
125,Sporty Red Pants,Underwear,Tommy Hilfiger,52.9,"A high-quality sporty red pants from Tommy Hilfiger, perfect for everyday wear."
126,Vintage Green Sweater,Accessories,Uniqlo,228.59,"A comfortable vintage green sweater from Uniqlo, perfect for everyday wear."
127,Basic Black Bra,Shorts,Puma,159.0,"A high-quality basic black bra from Puma, perfect for everyday wear."
128,Casual Gray Jeans,Underwear,Adidas,375.99,"A high-quality casual gray jeans from Adidas, perfect for everyday wear."
129,Modern Red Pants,Shoes,Zara,462.7,"A versatile modern red pants from Zara, perfect for everyday wear."
130,Stylish Blue Blouse,Blouses,Nike,561.94,"A stylish stylish blue blouse from Nike, perfect for everyday wear."
131,Casual Blue Jeans,Sweaters,Adidas,459.88,"A versatile casual blue jeans from Adidas, perfect for everyday wear."
132,Classic White Shorts,T-Shirts,Levi's,253.46,"A comfortable classic white shorts from Levi's, perfect for everyday wear."
133,Classic Pink Bra,Sweaters,Banana Republic,98.96,"A comfortable classic pink bra from Banana Republic, perfect for everyday wear."
134,Premium Navy Necklace,Jackets,Tommy Hilfiger,78.1,"A high-quality premium navy necklace from Tommy Hilfiger, perfect for everyday wear."
135,Basic Black Sneakers,Sweaters,Nike,480.53,"A high-quality basic black sneakers from Nike, perfect for everyday wear."
136,Trendy White Shorts,T-Shirts,Levi's,533.14,"A high-quality trendy white shorts from Levi's, perfect for everyday wear."
137,Elegant Green Blouse,Pants,Adidas,222.92,"A comfortable elegant green blouse from Adidas, perfect for everyday wear."
138,Premium Black Jacket,Jeans,Uniqlo,586.91,"A versatile premium black jacket from Uniqlo, perfect for everyday wear."
139,Basic Gray Bra,Accessories,Forever 21,540.77,"A stylish basic gray bra from Forever 21, perfect for everyday wear."
140,Premium Navy Blouse,Dresses,Gucci,124.61,"A versatile premium navy blouse from Gucci, perfect for everyday wear."
141,Stylish Navy Tee,T-Shirts,Gap,406.0,"A stylish stylish navy tee from Gap, perfect for everyday wear."
142,Sporty Black Pants,Underwear,Banana Republic,523.13,"A high-quality sporty black pants from Banana Republic, perfect for everyday wear."
143,Modern Red Socks,Blouses,Forever 21,205.73,"A comfortable modern red socks from Forever 21, perfect for everyday wear."
144,Casual Red Jeans,Jeans,Nike,17.06,"A versatile casual red jeans from Nike, perfect for everyday wear."
145,Vintage White Jacket,Blouses,Levi's,347.93,"A versatile vintage white jacket from Levi's, perfect for everyday wear."
146,Comfortable Pink Socks,T-Shirts,Levi's,431.0,"A high-quality comfortable pink socks from Levi's, perfect for everyday wear."
147,Comfortable Black Sweater,Underwear,Nike,781.83,"A stylish comfortable black sweater from Nike, perfect for everyday wear."
148,Elegant Black Coat,Sweaters,Nike,119.17,"A versatile elegant black coat from Nike, perfect for everyday wear."
149,Modern Blue Jacket,Dresses,Nike,183.9,"A versatile modern blue jacket from Nike, perfect for everyday wear."
150,Basic Pink Blouse,T-Shirts,Ralph Lauren,473.97,"A comfortable basic pink blouse from Ralph Lauren, perfect for everyday wear."
151,Modern Pink Pants,Shorts,Old Navy,761.87,"A high-quality modern pink pants from Old Navy, perfect for everyday wear."
152,Stylish Green Jeans,Jackets,Adidas,74.2,"A comfortable stylish green jeans from Adidas, perfect for everyday wear."
153,Comfortable White Pants,Sweaters,Levi's,321.46,"A versatile comfortable white pants from Levi's, perfect for everyday wear."
154,Classic Navy Blouse,Socks,Adidas,296.54,"A stylish classic navy blouse from Adidas, perfect for everyday wear."
155,Sporty Gray Pants,T-Shirts,Uniqlo,319.26,"A versatile sporty gray pants from Uniqlo, perfect for everyday wear."
156,Basic Navy Bra,Shoes,Ralph Lauren,155.58,"A high-quality basic navy bra from Ralph Lauren, perfect for everyday wear."
157,Stylish Pink Dress,Coats,Uniqlo,71.04,"A high-quality stylish pink dress from Uniqlo, perfect for everyday wear."
158,Vintage Green Blouse,Jackets,Adidas,446.33,"A high-quality vintage green blouse from Adidas, perfect for everyday wear."
159,Classic Green Shorts,Sweaters,Puma,352.59,"A comfortable classic green shorts from Puma, perfect for everyday wear."
160,Modern White Blouse,Sweaters,Gucci,524.34,"A stylish modern white blouse from Gucci, perfect for everyday wear."
161,Comfortable Gray Dress,Sweaters,Forever 21,99.52,"A versatile comfortable gray dress from Forever 21, perfect for everyday wear."
162,Casual Green Coat,Shoes,Gucci,53.89,"A comfortable casual green coat from Gucci, perfect for everyday wear."
163,Elegant White Sweater,Blouses,Banana Republic,374.86,"A high-quality elegant white sweater from Banana Republic, perfect for everyday wear."
164,Sporty Red Sneakers,Jackets,Nike,381.66,"A high-quality sporty red sneakers from Nike, perfect for everyday wear."
165,Trendy Gray Blouse,Jeans,H&M,199.31,"A comfortable trendy gray blouse from H&M, perfect for everyday wear."
166,Sporty Gray Coat,Underwear,Gucci,539.4,"A stylish sporty gray coat from Gucci, perfect for everyday wear."
167,Designer Black Bra,Coats,Adidas,123.6,"A versatile designer black bra from Adidas, perfect for everyday wear."
168,Basic Red Cap,Shorts,Forever 21,62.84,"A comfortable basic red cap from Forever 21, perfect for everyday wear."
169,Designer Green Necklace,Pants,Banana Republic,357.34,"A high-quality designer green necklace from Banana Republic, perfect for everyday wear."
170,Basic White Necklace,Jackets,Forever 21,355.87,"A stylish basic white necklace from Forever 21, perfect for everyday wear."
171,Casual Gray Socks,T-Shirts,Puma,161.97,"A comfortable casual gray socks from Puma, perfect for everyday wear."
172,Casual Pink Necklace,Coats,Adidas,378.74,"A versatile casual pink necklace from Adidas, perfect for everyday wear."
173,Sporty Black Jeans,Accessories,Puma,410.55,"A stylish sporty black jeans from Puma, perfect for everyday wear."
174,Trendy Gray Jeans,Hats,Zara,113.59,"A comfortable trendy gray jeans from Zara, perfect for everyday wear."
175,Designer White Shorts,Socks,Nike,746.24,"A high-quality designer white shorts from Nike, perfect for everyday wear."
176,Classic Navy Necklace,Skirts,Levi's,651.77,"A stylish classic navy necklace from Levi's, perfect for everyday wear."
177,Modern Navy Shorts,Jeans,H&M,688.8,"A stylish modern navy shorts from H&M, perfect for everyday wear."
178,Sporty Pink Tee,Skirts,Gap,507.81,"A comfortable sporty pink tee from Gap, perfect for everyday wear."
179,Trendy White Necklace,Accessories,Puma,427.12,"A versatile trendy white necklace from Puma, perfect for everyday wear."
180,Stylish Green Skirt,Sweaters,Adidas,601.94,"A high-quality stylish green skirt from Adidas, perfect for everyday wear."
181,Modern Gray Dress,Jeans,Uniqlo,571.89,"A versatile modern gray dress from Uniqlo, perfect for everyday wear."
182,Elegant Green Necklace,Shorts,Old Navy,332.32,"A high-quality elegant green necklace from Old Navy, perfect for everyday wear."
183,Elegant White Dress,Dresses,Banana Republic,440.15,"A high-quality elegant white dress from Banana Republic, perfect for everyday wear."
184,Trendy Black Coat,Coats,Ralph Lauren,18.27,"A stylish trendy black coat from Ralph Lauren, perfect for everyday wear."
185,Modern Blue Dress,T-Shirts,Nike,420.07,"A high-quality modern blue dress from Nike, perfect for everyday wear."
186,Comfortable Blue Sneakers,Hats,Old Navy,135.93,"A versatile comfortable blue sneakers from Old Navy, perfect for everyday wear."
187,Classic Gray Blouse,Underwear,Levi's,277.64,"A high-quality classic gray blouse from Levi's, perfect for everyday wear."
188,Trendy White Shorts,Shorts,H&M,783.92,"A stylish trendy white shorts from H&M, perfect for everyday wear."
189,Vintage Green Cap,Sweaters,Nike,624.91,"A high-quality vintage green cap from Nike, perfect for everyday wear."
190,Vintage Blue Shorts,Blouses,Gucci,86.4,"A high-quality vintage blue shorts from Gucci, perfect for everyday wear."
191,Basic Red Coat,Shorts,Zara,558.33,"A high-quality basic red coat from Zara, perfect for everyday wear."
192,Comfortable Gray Bra,Coats,Adidas,487.31,"A stylish comfortable gray bra from Adidas, perfect for everyday wear."
193,Basic Pink Necklace,Shorts,Tommy Hilfiger,727.28,"A high-quality basic pink necklace from Tommy Hilfiger, perfect for everyday wear."
194,Casual Gray Cap,Accessories,Gap,75.37,"A high-quality casual gray cap from Gap, perfect for everyday wear."
195,Designer Green Tee,Hats,Uniqlo,193.93,"A stylish designer green tee from Uniqlo, perfect for everyday wear."
196,Comfortable Pink Tee,Underwear,Tommy Hilfiger,201.61,"A comfortable comfortable pink tee from Tommy Hilfiger, perfect for everyday wear."
197,Stylish Blue Bra,T-Shirts,Old Navy,713.71,"A comfortable stylish blue bra from Old Navy, perfect for everyday wear."
198,Vintage Navy Sweater,Socks,Banana Republic,450.32,"A high-quality vintage navy sweater from Banana Republic, perfect for everyday wear."
199,Classic Blue Socks,Shorts,Forever 21,276.85,"A versatile classic blue socks from Forever 21, perfect for everyday wear."
200,Sporty Green Coat,Hats,H&M,784.47,"A versatile sporty green coat from H&M, perfect for everyday wear."
201,Comfortable Pink Jacket,Jeans,Puma,591.08,"A comfortable comfortable pink jacket from Puma, perfect for everyday wear."
202,Trendy Blue Skirt,Jackets,Forever 21,123.94,"A versatile trendy blue skirt from Forever 21, perfect for everyday wear."
203,Designer Gray Coat,Pants,Forever 21,424.9,"A high-quality designer gray coat from Forever 21, perfect for everyday wear."
204,Classic Pink Socks,Dresses,Banana Republic,528.94,"A stylish classic pink socks from Banana Republic, perfect for everyday wear."
205,Basic White Socks,Shorts,Levi's,314.93,"A versatile basic white socks from Levi's, perfect for everyday wear."
206,Modern Gray Necklace,Underwear,Adidas,28.85,"A versatile modern gray necklace from Adidas, perfect for everyday wear."
207,Premium Red Socks,Accessories,Gucci,81.33,"A high-quality premium red socks from Gucci, perfect for everyday wear."
208,Sporty Navy Coat,T-Shirts,Levi's,495.3,"A stylish sporty navy coat from Levi's, perfect for everyday wear."
209,Comfortable White Pants,Accessories,Puma,347.68,"A high-quality comfortable white pants from Puma, perfect for everyday wear."
210,Sporty Red Necklace,Accessories,Tommy Hilfiger,617.15,"A versatile sporty red necklace from Tommy Hilfiger, perfect for everyday wear."
211,Trendy White Necklace,Underwear,Levi's,611.62,"A comfortable trendy white necklace from Levi's, perfect for everyday wear."
212,Designer Green Skirt,Sweaters,H&M,372.8,"A comfortable designer green skirt from H&M, perfect for everyday wear."
213,Elegant Red Socks,Blouses,Adidas,712.91,"A stylish elegant red socks from Adidas, perfect for everyday wear."
214,Sporty Gray Jacket,Accessories,Forever 21,284.87,"A stylish sporty gray jacket from Forever 21, perfect for everyday wear."
215,Modern Red Necklace,Socks,Forever 21,247.84,"A comfortable modern red necklace from Forever 21, perfect for everyday wear."
216,Premium Pink Blouse,Sweaters,Ralph Lauren,326.73,"A stylish premium pink blouse from Ralph Lauren, perfect for everyday wear."
217,Sporty Black Sneakers,Jeans,H&M,742.63,"A stylish sporty black sneakers from H&M, perfect for everyday wear."
218,Premium Pink Dress,Underwear,Banana Republic,344.51,"A high-quality premium pink dress from Banana Republic, perfect for everyday wear."
219,Stylish Black Necklace,Jackets,H&M,337.0,"A high-quality stylish black necklace from H&M, perfect for everyday wear."
220,Elegant Blue Cap,Sweaters,Gap,61.05,"A comfortable elegant blue cap from Gap, perfect for everyday wear."
221,Stylish Blue Jacket,T-Shirts,Ralph Lauren,412.23,"A high-quality stylish blue jacket from Ralph Lauren, perfect for everyday wear."
222,Casual Black Skirt,Coats,Levi's,448.25,"A stylish casual black skirt from Levi's, perfect for everyday wear."
223,Sporty Navy Sweater,Underwear,Adidas,657.43,"A stylish sporty navy sweater from Adidas, perfect for everyday wear."
224,Stylish Pink Dress,Dresses,Nike,20.11,"A high-quality stylish pink dress from Nike, perfect for everyday wear."
225,Vintage Red Tee,Underwear,Nike,515.43,"A comfortable vintage red tee from Nike, perfect for everyday wear."
226,Classic Black Coat,Blouses,Banana Republic,764.52,"A stylish classic black coat from Banana Republic, perfect for everyday wear."
227,Premium Black Blouse,T-Shirts,Tommy Hilfiger,244.91,"A comfortable premium black blouse from Tommy Hilfiger, perfect for everyday wear."
228,Vintage Red Socks,Jackets,Puma,438.12,"A comfortable vintage red socks from Puma, perfect for everyday wear."
229,Comfortable Blue Bra,Shorts,Gucci,489.0,"A comfortable comfortable blue bra from Gucci, perfect for everyday wear."
230,Classic White Coat,Accessories,Forever 21,791.57,"A stylish classic white coat from Forever 21, perfect for everyday wear."
231,Elegant White Blouse,T-Shirts,Gap,18.3,"A versatile elegant white blouse from Gap, perfect for everyday wear."
232,Elegant Gray Necklace,Blouses,Gucci,35.95,"A stylish elegant gray necklace from Gucci, perfect for everyday wear."
233,Classic Black Socks,Blouses,Gap,155.13,"A comfortable classic black socks from Gap, perfect for everyday wear."
234,Comfortable Red Sweater,Underwear,Puma,452.74,"A comfortable comfortable red sweater from Puma, perfect for everyday wear."
235,Designer Gray Socks,Blouses,Puma,497.69,"A versatile designer gray socks from Puma, perfect for everyday wear."
236,Sporty Red Bra,Underwear,Old Navy,240.82,"A stylish sporty red bra from Old Navy, perfect for everyday wear."
237,Stylish White Shorts,Pants,Forever 21,97.78,"A stylish stylish white shorts from Forever 21, perfect for everyday wear."
238,Trendy Gray Pants,Shoes,Uniqlo,142.61,"A comfortable trendy gray pants from Uniqlo, perfect for everyday wear."
239,Sporty White Pants,Underwear,Forever 21,521.06,"A comfortable sporty white pants from Forever 21, perfect for everyday wear."
240,Premium Gray Coat,Skirts,Adidas,297.36,"A versatile premium gray coat from Adidas, perfect for everyday wear."
241,Vintage Blue Pants,Dresses,Puma,740.77,"A comfortable vintage blue pants from Puma, perfect for everyday wear."
242,Designer Navy Jacket,Blouses,Gucci,652.85,"A stylish designer navy jacket from Gucci, perfect for everyday wear."
243,Basic Red Shorts,Dresses,Uniqlo,431.01,"A stylish basic red shorts from Uniqlo, perfect for everyday wear."
244,Elegant Green Blouse,Jeans,Zara,572.03,"A versatile elegant green blouse from Zara, perfect for everyday wear."
